1,2,0,0,0,,
2,198,2,10,0,,
3,1050,200,0,0,2,1
4,1000,1250,10,1,3,1
5,1250,2250,0,0,4,1
6,1500,3500,10,0,3,1
7,1750,5000,0,1,5,1
8,2000,6750,10,0,6,1
9,2250,8750,0,0,7,1
10,2300,11000,10,0,8,1
11,2350,13300,0,1,9,1
12,2400,15650,10,0,10,1
13,2450,18050,0,0,11,1
14,2500,20500,10,0,12,1
15,2550,23000,0,0,13,1
16,2600,25550,10,0,14,1
17,2650,28150,0,0,15,1
18,2700,30800,10,0,16,1
19,2750,33500,0,0,17,1
20,2800,36250,10,1,18,1
21,2850,39050,0,0,19,1
22,2900,41900,10,0,20,1
23,2950,44800,0,0,21,1
24,3000,47750,10,0,22,1
25,3050,50750,0,0,23,1
26,3100,53800,10,0,24,1
27,3150,56900,0,0,25,1
28,3200,60050,10,0,26,1
29,3250,63250,0,0,27,1
30,3300,66500,10,1,28,1
31,3350,69800,0,0,29,1
32,3400,73150,10,0,30,1
33,3450,76550,0,0,21,1
34,3500,80000,10,0,22,1
35,3550,83500,0,0,23,1
36,3600,87050,10,0,24,1
37,3650,90650,0,0,25,1
38,3700,94300,10,0,26,1
39,3750,98000,0,0,27,1
40,3800,101750,10,1,28,1
41,3850,105550,0,0,29,1
42,3900,109400,10,0,30,1
43,3950,113300,0,0,21,1
44,4000,117250,10,0,22,1
45,4050,121250,0,0,23,1
46,4100,125300,10,0,24,1
47,4150,129400,0,0,25,1
48,4200,133550,10,0,26,1
49,4250,137750,0,0,27,1
50,4300,142000,10,1,28,1
51,4350,146300,0,0,29,1
52,4400,150650,10,0,30,1
53,4450,155050,0,0,21,1
54,4500,159500,10,0,22,1
55,4550,164000,0,0,23,1
56,4600,168550,10,0,24,1
57,4650,173150,0,0,25,1
58,4700,177800,10,0,26,1
59,4750,182500,0,0,27,1
60,4800,187250,10,1,28,1
61,4850,192050,0,0,29,1
62,4900,196900,10,0,30,1
63,4950,201800,0,0,21,1
64,5000,206750,10,0,22,1
65,5050,211750,0,0,23,1
66,5100,216800,10,0,24,1
67,5150,221900,0,0,25,1
68,5200,227050,10,0,26,1
69,5250,232250,0,0,27,1
70,5300,237500,10,1,28,1
71,5350,242800,0,0,29,1
72,5400,248150,10,0,30,1
73,5450,253550,0,0,21,1
74,5500,259000,10,0,22,1
75,5550,264500,0,0,23,1
76,5600,270050,10,0,24,1
77,5650,275650,0,0,25,1
78,5700,281300,10,0,26,1
79,5750,287000,0,0,27,1
80,5800,292750,10,1,28,1
81,5850,298550,0,0,29,1
82,5900,304400,10,0,30,1
83,5950,310300,0,0,21,1
84,6000,316250,10,0,22,1
85,6050,322250,0,0,23,1
86,6100,328300,10,0,24,1
87,6150,334400,0,0,25,1
88,6200,340550,10,0,26,1
89,6250,346750,0,0,27,1
90,6300,353000,10,1,28,1
91,6350,359300,0,0,29,1
92,6400,365650,10,0,30,1
93,6450,372050,0,0,21,1
94,6500,378500,10,0,22,1
95,6550,385000,0,0,23,1
96,6600,391550,10,0,24,1
97,6650,398150,0,0,25,1
98,6700,404800,10,0,26,1
99,6750,411500,0,0,27,1
100,8000,418250,10,1,28,1
101,8000,426250,0,0,29,1
102,8000,434250,10,0,30,1
103,8000,442250,0,0,21,1
104,8000,450250,10,0,22,1
